[2025-10-14T07:03:53.646Z] 🔍 JAREMIS Server Monitor Started
[2025-10-14T07:03:53.654Z]    Target: http://localhost:3000
[2025-10-14T07:03:53.654Z]    Check Interval: 5000ms
[2025-10-14T07:03:53.655Z]    Log File: D:\Ant's Folder\Code\JAREMIS\api_JAREMIS_PRO-main\server-monitor.log
[2025-10-14T07:03:53.655Z] ----------------------------------------
[2025-10-14T07:03:53.684Z] ✅ SERVER UP - Response: 200 (28ms)
[2025-10-14T07:03:56.696Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:01.694Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:06.716Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:11.728Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:16.747Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:21.763Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:26.764Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:31.782Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:36.798Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:41.813Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:46.832Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:51.845Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:04:56.847Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:01.848Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:06.859Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:11.871Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:16.879Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:21.885Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:26.886Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:31.908Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:36.900Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:41.921Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:46.927Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:51.929Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:05:56.936Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:01.929Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:06.944Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:11.950Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:16.963Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:21.979Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:26.978Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:31.992Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:37.005Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:42.026Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:47.026Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:52.049Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:06:57.076Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:02.078Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:07.086Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:12.096Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:17.113Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:22.125Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:27.131Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:32.151Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:37.160Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:42.159Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:47.183Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:52.192Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:07:57.192Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:02.208Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:07.222Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:12.226Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:17.233Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:22.253Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:27.251Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:32.259Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:37.284Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:42.284Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:47.291Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:52.289Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:08:57.306Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:02.315Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:07.317Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:12.322Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:17.317Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:22.352Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:27.361Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:32.359Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:37.361Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:42.365Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:47.374Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:52.386Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:09:57.396Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:02.414Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:07.414Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:12.423Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:17.430Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:22.452Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:27.461Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:32.473Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:37.493Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:42.501Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:47.515Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:52.514Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:10:57.534Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:02.541Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:07.545Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:12.566Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:17.583Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:22.595Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:27.592Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:32.616Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:37.629Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:42.641Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:47.641Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:52.649Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:11:57.660Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:02.676Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:07.674Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:12.680Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:17.680Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:22.695Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:27.692Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:32.705Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:37.705Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:42.719Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:47.713Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:52.726Z] ⏱️ SERVER TIMEOUT - No response within 3s
[2025-10-14T07:12:57.726Z] ⏱️ SERVER TIMEOUT - No response within 3s
